2014-10-21 21:56:16 , MATHC_RULE , ATTACK_LEAKAGE , 251.255.255.42 , /inetput.html , 5759681
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_E , 252.255.255.19 , /capture.html , 5408481
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_D , 251.254.254.146 , /inetput.html , 5499793
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_E , 252.253.254.159 , / , 4998801
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_C , 251.255.255.163 , /first.html , 4991720
2014-10-21 21:56:16 , MATCH_F , ATTACK_A , 254.254.255.42 , /predirect.html , 6206192
2014-10-21 21:56:16 , MATCH_F , - , 252.253.254.179 , /deny.html , 1080458
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_D , 254.253.255.231 , /capture.html , 1275074
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_C , 251.253.254.222 , /predirect.html , 1786025
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_C , 252.254.255.120 , /inetput.html , 3306003
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_A , 254.255.254.164 , /predirect.html , 1511849
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_C , 254.253.255.205 , /capture.html , 5219542
2014-10-21 21:56:16 , MATCH_F , ATTACK_E , 254.254.255.82 , /deny.html , 8964278
2014-10-21 21:56:16 , MATCH_G , ATTACK_E , 253.253.254.216 , /tredirect.html , 8757590
2014-10-21 21:56:16 , MATCH_G , - , 254.255.254.133 , /tredirect.html , 6967644
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_C , 252.255.254.20 , /predirect.html , 1769225
2014-10-21 21:56:16 , MATCH_G , ATTACK_B , 254.254.255.198 , /predirect.html , 3667665
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_C , 254.254.254.29 , /capture.html , 7803084
2014-10-21 21:56:16 , MATCH_G , ATTACK_E , 253.253.254.188 , /first.html , 2569025
2014-10-21 21:56:16 , MATCH_F , ATTACK_E , 254.254.254.18 , /capture.html , 7187553
2014-10-21 21:56:16 , MATCH_G , ATTACK_B , 253.253.254.118 , /deny.html , 9417292
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_B , 251.254.254.251 , /capture.html , 8941595
2014-10-21 21:56:16 , MATCH_F , ATTACK_C , 252.255.255.227 , /index , 2089013
2014-10-21 21:56:16 , MATCH_F , ATTACK_E , 252.253.255.146 , /tredirect.html , 9848308
2014-10-21 21:56:16 , MATCH_G , - , 254.253.255.60 , /inetput.html , 7597215
2014-10-21 21:56:16 , MATCH_F , ATTACK_C , 252.255.255.211 , /deny.html , 8883179
2014-10-21 21:56:16 , MATCH_F , ATTACK_C , 251.254.254.166 , /deny.html , 4935176
2014-10-21 21:56:16 , MATCH_G , ATTACK_E , 251.254.255.20 , /predirect.html , 4739281
2014-10-21 21:56:16 , MATCH_F , ATTACK_E , 251.255.254.140 , /inetput.html , 9742195
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_C , 254.254.254.239 , /capture.html , 4282836
2014-10-21 21:56:16 , MATCH_G , ATTACK_E , 251.255.254.204 , /tredirect.html , 1184648
2014-10-21 21:56:16 , MATCH_F , ATTACK_LEAKAGE , 254.253.255.204 , /predirect.html , 2139473
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_C , 253.254.254.3 , /index , 1639804
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_A , 251.253.254.92 , /capture.html , 3485045
2014-10-21 21:56:16 , MATCH_ACL , - , 254.254.255.93 , /capture.html , 9344243
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_E , 254.255.255.245 , /deny.html , 2057162
2014-10-21 21:56:16 , MATCH_ACL , ATTACK_C , 252.253.255.157 , /index , 3161496
2014-10-21 21:56:16 , MATHC_RULE , ATTACK_C , 252.253.255.204 , /index , 3710164
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_LEAKAGE , 252.255.254.231 , /inetput.html , 2014587
2014-10-21 21:56:16 , MATCH_WEBTR , ATTACK_A , 254.255.255.61 , /capture.html , 4736658
2014-10-21 21:56:16 , MATCH_G , ATTACK_C , 251.255.254.178 , /index , 9224371
